,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,plot_yield_kilograms_per_hectare,plot_main_crop,plot_revenue_dollars,plot_gross_margin_dollars
173,hart,HART_S2.1_P0000_R1,2024,2,202.0,183.213910535,TBD,TBD,61.161,-324.052910535
174,hart,HART_S6_P2341_R1,2023,1,213.0,236.50179999999997,TBD,TBD,440.0,-9.501799999999974
175,hart,HART_S6_P2341_R1,2024,2,202.0,189.60315159,TBD,TBD,218.24,-173.36315159
176,hart,HART_S2.1_P0000_R2,2023,1,202.0,238.25834999999998,TBD,TBD,1001.28,561.02165
177,hart,HART_S2.1_P0000_R2,2024,2,202.0,183.213910535,TBD,TBD,597.661,212.44708946499995
178,hart,HART_S8_P3412_R2,2023,1,202.0,235.75834999999998,TBD,TBD,1086.34,648.58165
179,hart,HART_S8_P3412_R2,2024,2,202.0,256.61117314999996,TBD,TBD,460.8,2.188826850000055
180,hart,HART_S6_P2341_R3,2023,1,213.0,236.50179999999997,TBD,TBD,549.12,99.61820000000003
181,hart,HART_S6_P2341_R3,2024,2,202.0,189.60315159,TBD,TBD,335.04,-56.56315158999999
182,hart,HART_S4.3_P1234_R3,2023,1,204.5,222.5193,TBD,TBD,1339.5,912.4807000000001
183,hart,HART_S4.3_P1234_R3,2024,2,202.0,255.72250499999998,TBD,TBD,762.24,304.51749500000005
184,hart,HART_S2.3_P0000_R2,2023,1,202.0,285.75834999999995,TBD,TBD,1195.84,708.08165
185,hart,HART_S2.3_P0000_R2,2024,2,202.0,182.76499213000002,TBD,TBD,215.615,-169.14999213000002
186,hart,HART_S3_P2341_R3,2023,1,202.0,246.75835,TBD,TBD,1015.36,566.6016500000001
187,hart,HART_S3_P2341_R3,2024,2,193.5,242.32439999999997,TBD,TBD,727.5,291.67560000000003
188,hart,HART_S9_P3412_R1,2023,1,202.0,246.75835,TBD,TBD,1049.6,600.8416499999998
189,hart,HART_S9_P3412_R1,2024,2,202.0,220.68351425,TBD,TBD,116.29,-306.39351425
190,hart,HART_S3_P1234_R2,2023,1,204.5,222.5193,TBD,TBD,982.5,555.4807000000001
191,hart,HART_S3_P1234_R2,2024,2,202.0,216.27188242000003,TBD,TBD,544.0,125.72811757999997
192,hart,HART_S4.2_P4123_R2,2023,1,202.0,235.75835,TBD,TBD,1007.75,569.9916499999999
193,hart,HART_S4.2_P4123_R2,2024,2,193.5,242.32440000000003,TBD,TBD,538.5,102.67559999999997
194,hart,HART_S6_P1234_R1,2023,1,204.5,222.5193,TBD,TBD,1071.0,643.9807000000001
195,hart,HART_S6_P1234_R1,2024,2,210.5,235.51600000000002,TBD,TBD,492.8,46.78399999999999
196,hart,HART_S4.1_P1234_R1,2023,1,204.5,222.5193,TBD,TBD,1201.5,774.4807000000001
197,hart,HART_S4.1_P1234_R1,2024,2,202.0,214.75948176,TBD,TBD,553.92,137.16051823999996
198,hart,HART_S5_P0000_R9,2023,1,204.5,222.5193,TBD,TBD,908.25,481.2307
199,hart,HART_S5_P0000_R9,2024,2,193.5,238.44439999999997,TBD,TBD,0.0,-431.9444
200,hart,HART_S8_P4123_R3,2023,1,202.0,246.75835,TBD,TBD,1115.2,666.44165
201,hart,HART_S8_P4123_R3,2024,2,193.5,242.32440000000003,TBD,TBD,515.25,79.42559999999997
202,hart,HART_S8_P2341_R2,2023,1,202.0,246.75835,TBD,TBD,825.28,376.52164999999997
203,hart,HART_S8_P2341_R2,2024,2,202.0,198.84890383,TBD,TBD,210.25,-190.59890383
204,hart,HART_S4.1_P3412_R3,2023,1,213.0,215.00179999999997,TBD,TBD,616.88,188.87820000000002
205,hart,HART_S4.1_P3412_R3,2024,2,202.0,204.75806106500002,TBD,TBD,156.01999999999998,-250.73806106500004
206,hart,HART_S10.3_P3123_R3,2023,1,202.0,235.75835,TBD,TBD,948.3,510.54164999999995
207,hart,HART_S10.3_P3123_R3,2024,2,191.0,247.12695128,TBD,TBD,610.7,172.57304872000006
208,hart,HART_S4.1_P1234_R2,2023,1,204.5,222.5193,TBD,TBD,948.0,520.9807000000001
209,hart,HART_S4.1_P1234_R2,2024,2,202.0,214.75948176,TBD,TBD,482.56,65.80051824
210,hart,HART_S4.2_P2341_R2,2023,1,202.0,246.75835,TBD,TBD,758.08,309.32165000000003
211,hart,HART_S4.2_P2341_R2,2024,2,210.5,237.424870683,TBD,TBD,66.0,-381.924870683
212,hart,HART_S4.3_P1234_R2,2023,1,204.5,222.5193,TBD,TBD,1328.25,901.2307000000001
213,hart,HART_S4.3_P1234_R2,2024,2,202.0,255.72250499999998,TBD,TBD,571.52,113.797495
214,hart,HART_S6_P4123_R3,2023,1,202.0,235.75834999999998,TBD,TBD,1175.37,737.6116499999999
215,hart,HART_S6_P4123_R3,2024,2,193.5,242.32440000000003,TBD,TBD,442.5,6.675599999999974
216,hart,HART_S3_P2341_R2,2023,1,202.0,246.75835,TBD,TBD,864.64,415.88165
217,hart,HART_S3_P2341_R2,2024,2,193.5,242.32440000000003,TBD,TBD,466.5,30.675599999999974
218,hart,HART_S7_P4123_R3,2023,1,202.0,235.75835,TBD,TBD,1099.6799999999998,661.9216499999998
219,hart,HART_S7_P4123_R3,2024,2,193.5,242.32439999999997,TBD,TBD,506.25,70.42560000000003
220,hart,HART_S7_P4123_R1,2023,1,202.0,235.75835,TBD,TBD,1300.07,862.3116499999999
221,hart,HART_S7_P4123_R1,2024,2,193.5,242.32439999999997,TBD,TBD,423.75,-12.074399999999969
222,hart,HART_S7_P3412_R2,2023,1,202.0,246.75834999999998,TBD,TBD,902.4,453.64165
223,hart,HART_S7_P3412_R2,2024,2,202.0,214.90329390000002,TBD,TBD,212.28,-204.62329390000002
224,hart,HART_S9_P3412_R2,2023,1,202.0,246.75834999999998,TBD,TBD,782.72,333.9616500000001
225,hart,HART_S9_P3412_R2,2024,2,202.0,220.68351425,TBD,TBD,394.11,-28.573514249999988
226,hart,HART_S4.2_P2341_R1,2023,1,202.0,246.75834999999998,TBD,TBD,805.76,357.00165000000004
227,hart,HART_S4.2_P2341_R1,2024,2,210.5,237.424870683,TBD,TBD,170.72,-277.20487068299997
228,hart,HART_S2.3_P0000_R1,2023,1,202.0,285.75835,TBD,TBD,1416.96,929.20165
229,hart,HART_S2.3_P0000_R1,2024,2,202.0,182.76499213000002,TBD,TBD,118.52299999999998,-266.24199213
230,hart,HART_S8_P2341_R3,2023,1,202.0,246.75834999999998,TBD,TBD,1094.08,645.32165
231,hart,HART_S8_P2341_R3,2024,2,202.0,198.84890383,TBD,TBD,0.0,-400.84890383000004
232,hart,HART_S1.3_P2312_R3,2023,1,202.0,259.75834999999995,TBD,TBD,995.84,534.0816500000001
233,hart,HART_S1.3_P2312_R3,2024,2,202.0,230.85440000000003,TBD,TBD,351.48,-81.37440000000001
234,hart,HART_S10.1_P3123_R2,2023,1,193.5,190.25835,TBD,TBD,1016.74,632.98165
235,hart,HART_S10.1_P3123_R2,2024,2,182.5,203.29500000000002,TBD,TBD,689.12,303.325
236,hart,HART_S1.1_P1231_R1,2023,1,204.5,222.5193,TBD,TBD,1453.5,1026.4807
237,hart,HART_S1.1_P1231_R1,2024,2,202.0,223.052,TBD,TBD,428.16,3.1080000000000325
238,hart,HART_S9_P4123_R3,2023,1,202.0,235.75835,TBD,TBD,1246.7099999999998,808.9516499999997
239,hart,HART_S9_P4123_R3,2024,2,182.5,139.03,TBD,TBD,0.0,-321.53
240,hart,HART_S10.1_P1231_R2,2023,1,204.5,227.7693,TBD,TBD,1211.41,779.1407000000002
241,hart,HART_S10.1_P1231_R2,2024,2,202.0,228.395073865,TBD,TBD,307.52,-122.87507386500002
